Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Military_ID,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured ,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,
Pentachlorophenol (PCP),Organochlorine pesticide,OSCO: Waipiʻo Peninsula Former Pesticide Mixing Site,Waipiʻo Peninsula Former Pesticide Mixing Site,Agriculture,0,Unknown-1980s,Historic,Waipiʻo,81 mg/kg,HDOH EAL: 0.78 mg/kg,Soil,Walker Bay/West Loch,Surface runoff into Walker bay. Potential leach to GW,"Exposure can cause headache, sweating, weakness, trouble breathing, high fever, and pain in the chest and abdomen. Potential human carcinogen.",Site trespassers have potential exposure to unpaved surface soil through ingestion and dermal contact. Soils from the Site may be transported off Site due to normal human activities,,,,278,,157.9892942°W 21.3629227°N ,
Arsenic,Heavy metal,ʻEwa Villages Golf Course,"Fumigant Storage Area, ʻEwa Sugar Mill",Agriculture,0,1890-1976,Contained,Honouliuli,54.4 ppm,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (1.5 ft bgs),West Loch,Stormwater flows down Renton Rd and into Pacific Ocean,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","The site has been filled since closing of the sugar mill. The contaminated soil is 1.5 ft bgs and it is assumed that there is no health risk, as long as there is no excavation of the soil",61-650 Kuʻuwelu Pl (should be lot in b/w Kuʻuwelu and Alaiki St),2000,"(CCH, 2011) Ewa Plantation Fumigant Storage area.pdf",281,,158.0384919°W 21.3393611°N ,
Lead,Heavy metal,West Loch Golf Course,Fallowed sugarcane land,Agriculture,0,Unknown,Contained,Honouliuli,"Concentration not specified, lead exceeds EAL",,Stormwater runoff,West Loch,Borders West Loch,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","The site is filled, no known human exposures described in document",Location p.25 (although Iʻm sure the googled Golf course location). Exist in zone of 2 fish ponds (Apokeo is the only one mentioned),1988,1988-03-OA-FEIS-WEST-LOCH-GOLF-COURSE-AND-SHORELINE-PARK.pdf,282,Mapped in West Loch Golf Course,158.0296592°W 21.3674316°N ,
Arsenic,Heavy metal,Waipiʻo Soccer Complex,"Former Waipahu Incinerator, Landfill",Urban,0,1971-1991,Contained,Waipiʻo,26.1 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Surface Soil (2-10 in bgs),West Loch,To West Loch,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.",Potential risk of exposure assumed upon excavation of soil in the region,"Location: Waipiʻo Point Access Rd, Waipahu, HI 96797 (could just search the park?)",2007,"(DeGelleke, 2007) ABUNDANCE AND DISTRIBUTION OF ARSENIC IN HAWAIIAN SOILS AND SEDIMENTS.pdf",283,Mapped on Waipiʻo Point Access Rd,157.9856568°W 21.3641266°N ,
2-Butanone (MEK),Volatile organic compound (VOCs),Honouliuli Municipal Wastewater Treatment Plant,Honouliuli Municipal Wastewater Treatment Plant,Urban,0,1978-Current,Ongoing,Honouliuli,10.1 mg/kg,HDOH EAL: 6.2 mg/kg,Soil Stockpile,West Loch,To non-drinking water aquifer that is above the UIC line," 2-Butanone, also known as methyl ethyl ketone (MEK), is a solvent used in the production of paints, coatings, adhesives, and cleaning agents. Short-term exposurecan cause irritation of the eyes, nose, and throat, as well as symptoms like headache, dizziness, nausea, and central nervous system depression. Long-term exposure may lead to liver and kidney damage. MEK is not classified as a carcinogen.",Soil is not considered for reuse and must be disposed of in a landfill. No direct or immediate threat to human health aside from on-site workers,"Location: 91-1000 Geiger Rd, ʻEwa Beach, HI 96706",2023,"(ESI, 2023) Honouliuli WWTP Stockpile soil sampling for offsite reuse.pdf",284,,158.0376789°W 21.3299655°N ,
Trichloroethylene (TCE),Volatile organic compound (VOCs),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,0.015 mg/L,HDOH EAL (2005): 0.005 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Short-term exposure to TCE can cause dizziness, headaches, and irritation of the eyes, skin, and respiratory system. Long-term exposure increases the risk of liver and kidney damage, immune and nervous system effects, and various cancers, including kidney and liver cancer. TCE is also associated with reproductive and developmental harm.",Drinking water well closed for future use,"On site, located near the bend on Waipahu St (potentially near this hand selected coordinate: 21.385677, -158.008650)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",285,,158.0084968°W 21.3857284°N ,
Ethylbenzene,Volatile organic compound (VOCs),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,3.85 mg/kg,HDOH EAL (2005): 3.3 mg/kg,Soil (~46 ft bgs),Groundwater,"Concentration is detected near the soil-groundwater interface, likely groundwater contamination"," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ","Airborne exposure is unlikely due to the depth of contamination. As the drinking water well is closed, contamination shouldn't pose an immediate health risk via ingestion or inhalation","On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",286,,158.0084968°W 21.3857284°N ,
Benzene,Volatile organic compound (VOCs),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,0.02 mg/L,HDOH EAL (2005): 0.005 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.",Drinking water well closed for future use,"On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",287,,158.0084968°W 21.3857284°N ,
TPH (Middle Distillates),Hydrocarbon (petroleum),Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,2.9 mg/L,HDOH EAL (2005): 0.1 mg/L,Groundwater,Groundwater,Report states groundwater is not likely to migrate offsite,"Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.",Drinking water well closed for future use,"On site, located on the upper corner of property boundary (potentially near this hand selected coordinate: 21.387212, -158.008575)",2006,"(HDOH, 2006) Waipahu Sugar Mill Final Response Action Memorandum.pdf",288,,158.0084968°W 21.3857284°N ,
Arsenic,Heavy metal,Waipahu Sugar Mill,Waipahu Plantation; Former Mill fueling station: Leaking on-site UST,Mixed,0,1897-1995,Contained,Waikele,34.4 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (2 ft bgs),Groundwater,Report states groundwater is not likely to migrate offsite,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","There is a low risk of exposure, as soil is buried 2-3 ft deep. Risk of exposure to on-site workers with excavation of soil and future construction","Location: near 
94-131 Malakeke Pl, Waipahu, HI 96797
",2004,"(HDOH, 2004) Waipahu Plantation: Arsenic Request for NFA.pdf",289,,158.0074680°W 21.3869466°N ,
Tetrachloroethylene (PCE),Volatile organic compound (VOCs),ʻAiea Fire Station,Closed UST ,Urban,0,1971-1992,Contained,ʻAiea/Kalauao,0.28 mg/kg,HDOH EAL (2016 EHMP): 0.088 mg/kg,Soil near UST,Runoff,"Unlikely to contaminate the nearby ʻAiea stream, as the site is located near the stream's end. Groundwater contamination is improbable due to the concrete established across the property. The most likely spread would be through runoff.","Short-term exposure to PCE can cause dizziness, headaches, and respiratory irritation. Long-term exposure may lead to serious health effects such as liver and kidney damage, nervous system impacts, and an increased risk of cancer, particularly bladder cancer. PCE is also linked to reproductive and developmental effects","NFA in place. Contaminated soil is located below building, covered with concrete human health risks only associated upon excavation of soil. ","Location : P. 14, ʻAiea Fire Station on google maps",2017,"(ESI, 2019) ʻAiea Fire Station EHMP .pdf",290,,157.9314941°W 21.3840470°N ,
Tetrachloroethylene (PCE),Volatile organic compound (VOCs),Former ʻAiea Laundry,"Laundry and dry cleaning activities, Former USTs, nearby petroleum pipelines",Urban,1,1940s-1998,Historic,Hālawa,200 µg/L,HDOH EAL: 5 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to PCE can cause dizziness, headaches, and respiratory irritation. Long-term exposure may lead to serious health effects such as liver and kidney damage, nervous system impacts, and an increased risk of cancer, particularly bladder cancer. PCE is also linked to reproductive and developmental effects","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure is associated with inhalation of soil vapor from the impacted area ","Current EPA Superfund site. Currently undergoing remediation, but in the planning process. Therefore, contamination is current",2012,"(HART, 2012) Aiea Former Laundry EHE.pdf",291,,157.9302697°W 21.3767083°N ,
Trichloroethylene (TCE),Volatile organic compound (VOCs),Former ʻAiea Laundry,"Laundry and dry cleaning activities, Former USTs, nearby petroleum pipelines",Urban,1,1940s-1998,Historic,Hālawa,43µg/L,HDOH EAL: 5 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to TCE can cause dizziness, headaches, and irritation of the eyes, skin, and respiratory system. Long-term exposure increases the risk of liver and kidney damage, immune and nervous system effects, and various cancers, including kidney and liver cancer. TCE is also associated with reproductive and developmental harm.","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ","Location: . P.43  "" The Site is situated on an approximately 4-acre parcel of land bordered on the northwest by St. Elizabeth Church and School; to the north and northeast by the H-1 Freeway; to the southeast by ʻAiea Elementary School and Kaimakani Street; and to the southwest by Moanalua Road and Aloha Stadium.""",2012,,292,,157.9302697°W 21.3767083°N ,
"Cis 
1,2-Dichloroethylene",Volatile organic compound (VOCs),Former ʻAiea Laundry,"Laundry and dry cleaning activities, Former USTs, nearby petroleum pipelines",Urban,1,1940s-1998,Historic,Hālawa,290 µg/L,HDOH EAL: 70 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to 1,2-dichloroethylene can cause irritation of the nose, throat, and lungs. May cause dizziness at high concentrations. Chronic, long-term exposure can cause damage to the live and kidneys","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,293,,157.9302697°W 21.3767083°N ,
Vinyl Chloride ,Volatile organic compound (VOCs),Former ʻAiea Laundry,"Laundry and dry cleaning activities, Former USTs, nearby petroleum pipelines",Urban,1,1940s-1998,Historic,Hālawa,140 µg/L,HDOH EAL: 2 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Vinyl chloride can irritate the eyes and respiratory tract. Chronic exposure may cause permanent liver injury, neurological or behavioral symptoms, and changes to the skin and bones of the hand. Exposure is associated with a rare form of liver cancer, as well as brain and lung cancers, lymphoma, and leukemia","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,294,,157.9302697°W 21.3767083°N ,
