OBJECTID,Number,Contaminant,Contaminant Type,Contamination Area,Contamination Source,Land Use Type,Date of Pollution Event,Ongoing or Historic Contamination,Ahupuaʻa,Detection Level,Advisory/Regulatory Level,Media where contaminant was measured,Most likely impacted water body,Threat of spread?,Relative Health Risk,Community Health Risk,Other Notes,Year Published,Source,ID,MAP Notes,Coordinates,Field22,x,y
247,289,Arsenic,Heavy Metal,Waipahu Sugar Mill,Waipahu Sugar Mill,Industrial,1897-1995,"Historic, Contained",Waikele,34.4 mg/kg,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (2 ft bgs),Groundwater,Report states groundwater is not likely to migrate offsite,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","There is a low risk of exposure, as soil is buried 2-3 ft deep. Risk of exposure to on-site workers with excavation of soil and future construction","Location: near  94-131 Malakeke Pl, Waipahu, HI 96797 ",2004,"(HDOH, 2004) Waipahu Plantation: Arsenic Request for NFA.pdf",289,,158.0074680°W 21.3869466°N ,,-17589313.442,2438080.932
248,290,Tetrachloroethylene (PCE),Volatile Organic Compound (VOCs),ʻAiea Fire Station,ʻAiea Fire Station,Industrial,1971-1992,"Historic, Contained",ʻAiea/Kalauao,0.28 mg/kg,HDOH EAL (2016 EHMP): 0.088 mg/kg,Soil near UST,Runoff,"Unlikely to contaminate the nearby ʻAiea stream, as the site is located near the stream's end. Groundwater contamination is improbable due to the concrete established across the property. The most likely spread would be through runoff.","Short-term exposure to PCE can cause dizziness, headaches, and respiratory irritation. Long-term exposure may lead to serious health effects such as liver and kidney damage, nervous system impacts, and an increased risk of cancer, particularly bladder cancer. PCE is also linked to reproductive and developmental effects","NFA in place. Contaminated soil is located below building, covered with concrete human health risks only associated upon excavation of soil. ","Location : P. 14, ʻAiea Fire Station on google maps",2017,"(ESI, 2019) ʻAiea Fire Station EHMP .pdf",290,,157.9314941°W 21.3840470°N ,,-17580852.939,2437733.074
249,18,Atrazine (Not exceeding EAL),"Triazine, Herbicide",ʻEwa Sugar Mill-Kunia Air Strip Staging Are,ʻEwa Sugar Mill-Kunia Air Strip Staging Are,Agriculture,Not Specified,Historic,Honouliuli,2.17 mg/kg,HDOH EAL: 2.3 mg/kg; C/I: 8.7 mg/kg,Soil (surface and subsurface),Not specified,Not specified,"Endocrine disrupting chemical interrupting regular hormone function and causing birth defects, reproductive tumors, and weight loss in amphibians as well as humans.",Not specified,P.66 Location data,2009,https://health.hawaii.gov/heer/files/2021/06/HDOH2011d.pdf,18,,158.0363555°W 21.4077821°N,,-17592526.626,2440569.197
250,281,Arsenic,Heavy Metal,ʻEwa Villages Golf Course,ʻEwa Villages Golf Course,Agriculture,1890-1976,"Historic, Contained",Honouliuli,54.4 ppm,HDOH EAL: 24 mg/kg; C/I: 95 mg/kg,Soil (1.5 ft bgs),West Loch,Stormwater flows down Renton rd and into Pacific Ocean,"Chronic exposure to arsenic can lead to serious health effects, including skin lesions, cardiovascular diseases, and an increased risk of skin, bladder, and lung cancer. It can also cause neurological effects, including cognitive impairment and developmental delays. Acute exposure to high levels of arsenic can result in GI symptoms like nausea, vomiting, and diarrhea.","The site has been filled since closing of the sugar mill. The contaminated soil is 1.5 ft bgs and it is assumed that there is no health risk, as long as there is no excavation of the soil",61-650 Kuʻuwelu Pl (should be lot in b/w Kuʻuwelu and Alaiki St),2000,"(CCH, 2011) Ewa Plantation Fumigant Storage area.pdf",281,,158.0384919°W 21.3393611°N ,,-17592764.657,2432390.917
251,282,Lead,Heavy Metal,West Loch Golf Course,West Loch Golf Course,Agriculture,Undetermined,"Historic, Contained",Honouliuli,"Concentration not specified, lead exceeds EAL",,Stormwater runoff,West Loch,Borders West Loch,"Exposure to lead can have severe health effects, particularly in children, including developmental delays, learning difficulties, and lower IQ. In adults, lead exposure can cause cardiovascular problems, kidney damage, and reproductive issues. Chronic exposure to lead is also associated with neurological effects and can increase the risk of hypertension and anemia.","The site is filled, no known human exposures described in document",Location p.25 (although Iʻm sure the googled Golf course location). Exist in zone of 2 fish ponds (Apokeo is the only one mentioned),1988,1988-03-OA-FEIS-WEST-LOCH-GOLF-COURSE-AND-SHORELINE-PARK.pdf,282,Mapped in West Loch Golf Course,158.0296592°W 21.3674316°N ,,-17591809.686,2435764.194
252,284,2-Butanone (MEK),Volatile Organic Compound (VOCs),Honouliuli Municipal Wastewater Treatment Plant,Honouliuli Municipal Wastewater Treatment Plant,Urban,1978-Current,Potentially Ongoing,Honouliuli,10.1 mg/kg,HDOH EAL: 6.2 mg/kg,Soil Stockpile,West Loch,To non-drinking water aquifer that is above the UIC line," 2-Butanone, also known as methyl ethyl ketone (MEK), is a solvent used in the production of paints, coatings, adhesives, and cleaning agents. Short-term exposurecan cause irritation of the eyes, nose, and throat, as well as symptoms like headache, dizziness, nausea, and central nervous system depression. Long-term exposure may lead to liver and kidney damage. MEK is not classified as a carcinogen.",Soil is not considered for reuse and must be disposed of in a landfill. No direct or immediate threat to human health aside from on-site workers,"Location: 91-1000 Geiger Rd, Ewa Beach, HI 96706",2023,"(ESI, 2023) Honouliuli WWTP Stockpile soil sampling for offsite reuse.pdf",284,,158.0376789°W 21.3299655°N ,,-17592696.278,2431280.783
253,291,Tetrachloroethylene (PCE),Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,200 µg/L,HDOH EAL: 5 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to PCE can cause dizziness, headaches, and respiratory irritation. Long-term exposure may lead to serious health effects such as liver and kidney damage, nervous system impacts, and an increased risk of cancer, particularly bladder cancer. PCE is also linked to reproductive and developmental effects","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure is associated with inhalation of soil vapor from the impacted area ","Current EPA Superfund site. Currently undergoing remediation, but in the planning process. Therefore, contamination is current",2012,"(HART, 2012) Aiea Former Laundry EHE.pdf",291,,157.9302697°W 21.3767083°N ,,-17580736.581,2436855.145
254,292,Trichloroethylene (TCE),Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,43µg/L,HDOH EAL: 5 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to TCE can cause dizziness, headaches, and irritation of the eyes, skin, and respiratory system. Long-term exposure increases the risk of liver and kidney damage, immune and nervous system effects, and various cancers, including kidney and liver cancer. TCE is also associated with reproductive and developmental harm.","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",Location: . P.43  "" The Site is situated on an approximately 4-acre parcel of land bordered on the northwest by St. Elizabeth Church and School; to the north and northeast by the H-1 Freeway; to the southeast by Aiea Elementary School and Kaimakani Street; and to the southwest by Moanalua Road and Aloha Stadium."",2012,,292,,157.9302697°W 21.3767083°N ,,-17580722.814,2436856.675
255,293,"Cis  1,2-Dichloroethylene",Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,290 µg/L,HDOH EAL: 70 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to 1,2-dichloroethylene can cause irritation of the nose, throat, and lungs. May cause dizziness at high concentrations. Chronic, long-term exposure can cause damage to the live and kidneys","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,293,,157.9302697°W 21.3767083°N ,,-17580716.695,2436856.675
256,294,Vinyl Chloride ,Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,140 µg/L,HDOH EAL: 2 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Vinyl chloride can irritate the eyes and respiratory tract. Chronic exposure may cause permanent liver injury, neurological or behavioral symptoms, and changes to the skin and bones of the hand. Exposure is associated with a rare form of liver cancer, as well as brain and lung cancers, lymphoma, and leukemia","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,294,,157.9302697°W 21.3767083°N ,,-17580730.972,2436847.497
257,295,Benzene,Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,950 µg/L,HDOH EAL: 5 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposure to high levels of benzene can cause dizziness, headaches, drowsiness, and confusion. Long-term exposure primarily affects the bone marrow and leads to blood disorders, including aplastic anemia and an increased risk of leukemia.","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,295,,157.9302697°W 21.3767083°N ,,-17580723.324,2436848.007
258,296,Ethylbenzene,Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,160 µg/L,HDOH EAL: 40 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay"," Acute exposure to ethylbenzene in humans results in respiratory effects, such as throat irritation and chest constriction, irritation of the eyes, and neurological effects such as dizziness.  Chronic (long-term) exposure to ethylbenzene by inhalation in humans has shown conflicting results regarding its effects on the blood.  Animal studies have reported effects on the blood, liver, and kidneys from chronic inhalation exposure to ethylbenzene. ","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,296,,157.9302697°W 21.3767083°N ,,-17580716.186,2436849.027
259,297,Total xylenes,Volatile Organic Compound (VOCs),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,670 µg/L,HDOH EAL: 30 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Short-term exposures at high concentrations can cause irritation of the skin, eyes, nose, and throat; difficulty breathing; delayed response to a visual stimulus; impaired memory; stomach discomfort; and possible changes in the liver and kidneys. Both short- and long-term exposure can cause effects on nervous system: headaches, lack of muscle coordination, dizziness, confusion","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,297,,157.9302697°W 21.3767083°N ,,-17580727.403,2436841.889
260,298,TPH-DRO,Hydrocarbon (petroleum),Former ʻAiea Laundry,Former ʻAiea Laundry,Urban,1940s-1998,Historic,Hālawa,160 µg/L,HDOH EAL: 100 µg/L,Groundwater,Groundwater,"Groundwater, and respective solvent plume feeds the shoreline of ʻAiea Bay","Exposure to TPH can cause a range of health effects depending on the compound. Short-term exposure can lead to respiratory irritation, headaches, dizziness, and skin irritation. Long-term exposure may result in liver and kidney damage, nervous system effects, and increased cancer risk.","Groundwater is not a current drinking water source, and soil contamination has been deemed below the HDOH EAL. Risk of exposure to residents and workers is associated with inhalation of soil vapor from the impacted area ",,2012,,298,,157.9302697°W 21.3767083°N ,,-17580717.715,2436839.339
261,299,"Arsenic, Cadmium, Chromium",Heavy Metals,Kapapuhi Point Park,Kapapuhi Point Park,Urban,-,Historic,Honouliuli,"Not above EAL by Hawaii standards, but above other state-level standards for the contaminants ",,Surface Soil,"Groundwater, West Loch","Shoreline park, borders West Loch",Sampling done to increase knowledge on soil quality and contamination for local community gardening and to ensure food safety and security. ,The tested heavy metal concentrations are not of concern in comparison with known contamination in surrounding soils,Mapping location: just search the beach park?,2021,"(Rossi de Leon et al, 2021) Kapapuhi pt.pdf",299,,158.0181842°W 21.3657234°N ,,-17590503.806,2435583.746
